8:45 PM, 10:10 AM+1, CAD 1106, Air Canada,Toronto,Paris,
11:30 PM, 1:00 PM+1, CAD 1041, Delta • Delta 8661 operated by Air France,Toronto,Paris,
6:15 PM, 7:40 AM+1, CAD 1076, Air France,Toronto,Paris,
11:15 PM, 7:45 AM+2, CAD 739, Air Transat • Air Transat 7805 operated by Porter Airlines,Toronto,Paris,
4:40 PM, 10:20 AM+1, CAD 847, Porter Airlines • Porter Airlines 7461 and 7110 operated by Air Transat,Toronto,Paris,
4:35 PM, 10:20 AM+1, CAD 847, Porter Airlines • Porter Airlines 7110 operated by Air Transat,Toronto,Paris,
9:50 AM, 7:45 AM+1, CAD 854, Air Transat • Air Transat 7803 operated by Porter Airlines,Toronto,Paris,
7:30 PM, 7:45 AM+2, CAD 739, Air Transat,Toronto,Paris,
9:50 AM, 10:20 AM+1, CAD 854, Air Transat • Air Transat 7803 operated by Porter Airlines,Toronto,Paris,
7:00 AM, 10:20 AM+1, CAD 854, Air Transat • Air Transat 7801 operated by Porter Airlines,Toronto,Paris,
7:00 AM, 7:45 AM+1, CAD 854, Air Transat • Air Transat 7801 operated by Porter Airlines,Toronto,Paris,
5:30 PM, 9:30 AM+1, CAD 1014, Aer Lingus,Toronto,Paris,
4:40 PM, 10:45 AM+1, CAD 1074, ITA Airways,Toronto,Paris,
11:15 PM, 10:20 AM+2, CAD 794, Air Transat • Air Transat 7805 operated by Porter Airlines,Toronto,Paris,
7:50 PM, 1:40 PM+1, CAD 946, Multiple airlines,Toronto,Paris,
5:30 PM, 10:50 AM+1, CAD 1014, Aer Lingus,Toronto,Paris,
4:00 PM, 7:05 AM+1, CAD 1261, Multiple airlines • Lufthansa 6809 operated by Air Canada,Toronto,Paris,
12:30 PM, 6:15 AM+1, CAD 1228, Multiple airlines • WestJet 6300 operated by Skywest DBA Delta Connection,Toronto,Paris,
4:00 PM, 7:05 AM+1, CAD 1096, Lufthansa • Lufthansa 6581 and 6809 operated by Air Canada,Toronto,Paris,
5:58 PM, 10:50 AM+1, CAD 1080, Delta • Delta 3772 operated by Skywest DBA Delta Connection, Delta 8573 operated by Air France,Toronto,Paris
6:00 PM, 10:20 AM+1, CAD 1106, Air Canada,Toronto,Paris,
7:50 PM, 6:35 PM+1, CAD 946, Multiple airlines,Toronto,Paris,
11:00 PM, 3:55 PM+1, CAD 625, Icelandair,Toronto,Paris,
11:00 PM, 3:55 PM+1, CAD 625, Icelandair,Toronto,Paris,
9:10 PM, 10:35 AM+1, CAD 849, Porter Airlines • Porter Airlines 7188 operated by Air Transat,Toronto,Paris,
8:45 PM, 10:10 AM+1, CAD 1106, Air Canada,Toronto,Paris,
11:30 PM, 1:00 PM+1, CAD 1041, Delta • Delta 8661 operated by Air France,Toronto,Paris,
6:15 PM, 7:40 AM+1, CAD 1076, Air France,Toronto,Paris,
11:15 PM, 7:45 AM+2, CAD 739, Air Transat • Air Transat 7805 operated by Porter Airlines,Toronto,Paris,
4:40 PM, 10:20 AM+1, CAD 847, Porter Airlines • Porter Airlines 7461 and 7110 operated by Air Transat,Toronto,Paris,
4:35 PM, 10:20 AM+1, CAD 847, Porter Airlines • Porter Airlines 7110 operated by Air Transat,Toronto,Paris,
9:50 AM, 7:45 AM+1, CAD 854, Air Transat • Air Transat 7803 operated by Porter Airlines,Toronto,Paris,
7:30 PM, 7:45 AM+2, CAD 739, Air Transat,Toronto,Paris,
9:50 AM, 10:20 AM+1, CAD 854, Air Transat • Air Transat 7803 operated by Porter Airlines,Toronto,Paris,
7:00 AM, 10:20 AM+1, CAD 854, Air Transat • Air Transat 7801 operated by Porter Airlines,Toronto,Paris,
7:00 AM, 7:45 AM+1, CAD 854, Air Transat • Air Transat 7801 operated by Porter Airlines,Toronto,Paris,
5:30 PM, 9:30 AM+1, CAD 1014, Aer Lingus,Toronto,Paris,
4:40 PM, 10:45 AM+1, CAD 1074, ITA Airways,Toronto,Paris,
11:15 PM, 10:20 AM+2, CAD 794, Air Transat • Air Transat 7805 operated by Porter Airlines,Toronto,Paris,
7:50 PM, 1:40 PM+1, CAD 946, Multiple airlines,Toronto,Paris,
5:30 PM, 10:50 AM+1, CAD 1014, Aer Lingus,Toronto,Paris,
4:00 PM, 7:05 AM+1, CAD 1261, Multiple airlines • Lufthansa 6809 operated by Air Canada,Toronto,Paris,
12:30 PM, 6:15 AM+1, CAD 1228, Multiple airlines • WestJet 6300 operated by Skywest DBA Delta Connection,Toronto,Paris,
4:00 PM, 7:05 AM+1, CAD 1096, Lufthansa • Lufthansa 6581 and 6809 operated by Air Canada,Toronto,Paris,
5:58 PM, 10:50 AM+1, CAD 1080, Delta • Delta 3772 operated by Skywest DBA Delta Connection, Delta 8573 operated by Air France,Toronto,Paris
6:00 PM, 10:20 AM+1, CAD 1106, Air Canada,Toronto,Paris,
7:50 PM, 6:35 PM+1, CAD 946, Multiple airlines,Toronto,Paris,
